	control_early_01	control_early_02	control_early_03	control_embryo_01	control_embryo_02	control_embryo_03	control_late_01	control_late_02	control_late_03	treatment_early_01	treatment_early_02	treatment_early_03	treatment_embryo_01	treatment_embryo_02	treatment_embryo_03	treatment_late_01	treatment_late_02	treatment_late_03
JGI_V11_313818	95.818903	204.26406	77.228379	137.50093	300.6063	419.117712	155.84215	255.335728	162.087389	259.026003	160.264919	154.205003	366.144912	625.936104	504.045418	144.051254	176.297869	62.509985
JGI_V11_313822	2.228347	2.61877	0.0	0.0	0.0	13.593007	2.513583	10.379501	9.262137	7.129156	6.677705	15.874044	4.849601	12.225315	8.365899	9.445984	22.037234	5.000799
JGI_V11_313823	12.009611	10.47508	8.8261	4.661048	19.187636	36.248018	15.081498	22.834903	16.208739	7.129156	6.677705	20.409486	19.398406	34.230881	21.620774	18.891968	15.53876	15.002396
JGI_V11_313824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.754654	0.0
JGI_V11_313831	22.283466	130.9385	46.337027	27.966291	57.562908	92.885547	62.839576	118.326313	94.936899	90.302643	80.13246	126.992355	99.41683	102.692642	121.305536	66.121887	71.621009	35.005591
JGI_V11_313833	17.826773	7.85631	8.8261	0.0	21.319596	4.531002	2.513583	16.607202	4.631068	11.881927	8.903607	11.338603	7.274402	19.560503	27.189172	2.361496	16.527925	5.000799
JGI_V11_313834	64.622051	162.36374	59.576178	27.966291	38.375272	106.478554	95.516156	99.643211	120.407775	142.583121	109.069181	108.85059	58.195218	122.253145	106.665213	47.229919	63.357047	32.505192
JGI_V11_313838	55.708665	89.03818	30.891351	32.627339	70.354666	92.885547	60.325993	60.201107	71.781558	76.044331	75.680656	56.693016	60.620018	112.472894	106.665213	59.037399	55.093084	42.50679
JGI_V11_313841	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.424801	0.0	0.0	0.0	0.0	0.0
JGI_V11_313849	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_313851	0.0	2.61877	2.206525	0.0	10.659798	0.0	5.027166	0.0	4.631068	9.505541	0.0	0.0	7.274402	2.445063	14.640323	4.722992	11.018617	0.0
JGI_V11_313859	0.0	0.0	6.619575	2.330524	2.13196	0.0	0.0	6.227701	0.0	0.0	2.225902	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_313869	15.598426	54.99417	11.032626	13.983145	29.847434	24.920513	22.622248	47.745705	41.679614	52.280478	4.451803	31.748089	26.672808	75.79695	60.652768	47.229919	35.810505	27.504393
JGI_V11_313875	0.0	0.0	0.0	0.0	2.13196	4.531002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_313879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.225902	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_313893	142.614182	269.733309	191.967684	132.839882	289.946502	278.656641	273.980553	230.424925	185.242731	361.210573	198.105247	283.465078	254.604078	577.034846	481.039195	144.051254	247.918878	105.016774
JGI_V11_313894	0.0	0.0	0.0	0.0	6.395879	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_313895	8.913386	20.34616	11.032626	0.0	0.0	0.0	20.108664	2.0759	0.0	26.140239	28.936722	15.874044	0.0	0.0	0.0	0.0	5.509308	0.0
JGI_V11_313897	0.0	5.84154	6.619575	0.0	0.0	0.0	2.513583	4.1518	0.0	16.634697	8.903607	9.070883	0.0	0.0	2.091475	0.0	8.263963	0.0
JGI_V11_313898	11.141733	13.09385	11.032626	0.0	2.13196	15.858508	15.081498	18.683102	23.155341	16.634697	11.129508	24.944927	21.823207	17.11544	12.548849	9.445984	19.282579	2.500399
JGI_V11_313904	0.0	0.0	2.206525	0.0	6.395879	0.0	5.027166	2.0759	2.315534	4.752771	2.225902	0.0	4.849601	0.0	0.0	0.0	0.0	0.0
JGI_V11_313905	0.0	0.0	0.0	4.661048	0.0	0.0	0.0	0.0	6.946602	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_313913	49.023625	28.80647	19.858726	23.305242	40.507232	72.496037	45.244495	31.138503	39.36408	78.420717	37.840328	31.748089	46.071214	73.351887	125.488486	25.976456	55.093084	5.000799
JGI_V11_313915	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.631068	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_313916	60.165358	130.9385	44.130502	27.966291	63.958787	95.151048	57.81241	91.33961	69.466024	109.313726	44.518033	92.976546	65.46962	92.91239	79.476041	66.121887	82.639626	20.003195
JGI_V11_313921	24.511812	89.03818	15.445676	0.0	0.0	0.0	80.434658	0.0	2.315534	130.701194	93.48787	74.834781	0.0	0.0	0.0	0.0	2.754654	0.0
JGI_V11_313923	0.0	0.0	0.0	0.0	4.263919	0.0	5.027166	0.0	2.315534	0.0	2.225902	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JGI_V11_313924	0.0	0.0	0.0	2.330524	8.527838	4.531002	0.0	2.0759	0.0	2.376385	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
